"timestamp","station","line","is_weekend","hour","time_slot","day_type","season","entry_flow","exit_flow","platform_passengers","outdoor_temp","outdoor_rh","solar_radiation","platform_temp","platform_rh","co2","people_load_kw","fresh_air_load_kw","envelope_load_kw","equipment_load_kw","total_cooling_load_kw","chiller_load_kw","fan_power_kw","pump_power_kw"
"2025-07-01 00:00:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","0","late_night","weekday_high","summer","15.0","9","17","29.01","87.9","0.0","25.29","67.07","535.8","2.38","61.27","19.21","75.84","184.34","132.92","21.28","22.04"
"2025-07-01 00:15:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","0","late_night","weekday_high","summer","23.0","0","9","29.66","79.08","0.0","25.36","64.61","430.5","1.6","56.92","20.0","75.78","185.22","149.99","16.89","17.72"
"2025-07-01 00:30:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","0","late_night","weekday_high","summer","3.0","13","6","29.05","82.05","0.0","24.79","65.54","476.7","1.09","55.2","19.27","75.42","179.02","132.87","16.6","16.87"
"2025-07-01 00:45:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","0","late_night","weekday_high","summer","16.0","6","8","28.92","87.15","35.24","24.98","66.85","456.8","1.47","58.92","19.1","75.73","181.48","148.1","16.94","16.41"
"2025-07-01 01:00:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","1","late_night","weekday_high","summer","10.0","0","7","28.67","89.81","38.79","","65.15","494.3","0.98","57.96","18.8","75.11","182.89","182.15","16.79","16.67"
"2025-07-01 01:15:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","1","late_night","weekday_high","summer","68.0","1","12","28.98","81.49","9.33","25.42","64.67","487.3","3.4","59.36","19.17","78.17","187.0","156.02","17.58","15.95"
"2025-07-01 01:30:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","1","late_night","weekday_high","summer","24.0","11","14","29.35","80.37","0.0","25.11","63.99","420.0","2.46","58.18","19.62","76.4","193.59","174.36","17.41","18.75"
"2025-07-01 01:45:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","1","late_night","weekday_high","summer","0.0","22","14","29.04","91.83","0.53","25.32","64.7","465.5","2.04","63.38","19.24","75.73","195.72","156.55","16.84","14.19"
"2025-07-01 02:00:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","2","late_night","weekday_high","summer","0.0","22","15","29.02","88.52","0.0","25.47","67.26","434.1","2.13","61.22","19.22","75.73","189.48","191.45","16.68","17.12"
"2025-07-01 02:15:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","2","late_night","weekday_high","summer","17.0","0","10","28.49","86.83","43.83","24.96","66.82","500.9","1.5","56.67","18.59","75.47","174.15","167.6","16.77","17.12"
"2025-07-01 02:30:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","2","late_night","weekday_high","summer","11.0","0","7","28.94","85.48","49.99","25.48","65.99","502.9","1.02","56.43","19.13","75.16","180.65","173.99","17.2","17.25"
"2025-07-01 02:45:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","2","late_night","weekday_high","summer","5.0","17","7","28.73","82.62","6.93","24.81","63.48","440.9","1.38","55.02","18.88","75.73","184.26","161.03","16.92","15.97"
"2025-07-01 03:00:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","3","late_night","weekday_high","summer","0.0","14","6","29.1","83.17","0.0","25.06","65.07","","1.02","55.87","19.32","75.32","180.9","185.16","16.57","18.22"
"2025-07-01 03:15:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","3","late_night","weekday_high","summer","0.0","0","5","29.35","86.15","0.0","25.07","66.57","420.0","0.47","55.67","19.62","74.59","167.56","176.53","16.56","16.16"
"2025-07-01 03:30:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","3","late_night","weekday_high","summer","10.0","0","5","29.45","85.72","20.58","24.97","65.07","484.6","0.8","58.21","19.74","75.11","185.68","168.95","18.1","18.38"
"2025-07-01 03:45:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","3","late_night","weekday_high","summer","5.0","2","3","29.45","79.44","0.0","25.17","65.63","452.3","0.51","53.46","19.74","74.95","181.49","180.69","16.58","15.82"
"2025-07-01 04:00:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","4","late_night","weekday_high","summer","36.0","2","6","30.24","84.75","17.89","25.59","65.74","500.2","1.82","64.1","20.69","76.56","188.11","158.77","17.43","18.78"
"2025-07-01 04:15:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","4","late_night","weekday_high","summer","4.0","0","6","29.72","85.82","11.67","25.52","64.36","454.2","0.69","58.36","20.06","74.8","182.71","168.56","16.61","18.49"
"2025-07-01 04:30:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","4","late_night","weekday_high","summer","8.0","0","6","29.71","87.93","0.0","25.41","67.14","455.4","0.82","60.47","20.05","75.01","186.32","178.93","16.93","20.83"
"2025-07-01 04:45:00","Dongjiekou Station","Fuzhou Metro Line 1/Line 4 Interchange","False","4","late_night","weekday_high","summer","13.0","0","6","30.26","87.03","32.36","25.89","66.74","426.4","0.99","62.93","20.71","75.27","191.31","183.64","17.09","16.49"
