Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,date,cluster
94.39,101.9,94.25,96.1,88.71,95.96,105.17,98.16,90.29,90.09,93.35,102.39,100.36,102.94,98.09,100.86,97.86,100.95,102.89,109.93,101.26,111.32,102.86,111.44,108.66,108.15,110.77,114.99,130.21,125.07,99.39,118.92,124.41,129.35,122.49,130.47,135.55,145.88,142.52,156.6,173.08,168.51,175.46,185.32,183.15,173.46,204.54,210.12,195.95,196.73,203.37,193.59,192.69,209.27,207.67,182.7,179.21,188.86,186.56,194.47,170.25,169.97,169.69,160.45,158.94,156.31,151.57,140.02,150.58,126.66,135.59,133.65,108.57,110.22,127.27,115.27,111.8,108.63,108.8,110.39,108.09,88.68,99.37,104.25,95.44,100.94,89.04,96.34,106.88,102.32,108.56,96.6,99.03,102.38,103,89.46,2025-01-01 00:00:00,1
150.81,148.44,149.04,150.16,148.97,158.62,155.46,151.85,155.02,147.48,163.73,153.27,163.31,160.54,157.37,159.09,162.02,161.59,156.92,161.94,165.1,169.04,168.38,168.23,169.1,194.01,208.13,203.86,218.18,247.295,276.41,289.16,309.13,319.84,307.03,289.51,277.66,259.32,233.93,223.42,220.16,225.5,216.33,217.81,218.47,216.84,214.3,223.4,217.45,216.95,219.05,211.72,232,202.1,216.09,224.72,208.6,207.225,205.85,218.42,201.93,206.18,212,204.91,201.6,219.57,217.69,221.17,234.59,256.79,272.69,287.61,305.75,305.27,280.55,261.34,251.26,236.66,210.87,179.82,170.63,167.73,162.75,175.74,161.46,147.55,153.05,148.97,158.54,166.58,165.64,156.04,158.44,137.91,153.59,162.84,2025-01-02 00:00:00,2
96.55,94.84,90.59,94.76,97.66,108.21,99.11,105.26,83.21,77,102.5,102.24,87.18,102.41,96.64,108.08,89.88,94.55,93.6,98.11,110.26,104.21,100.29,105.47,103.49,117.6,107.55,101.01,116.73,104.48,112.88,111.53,117.41,124.14,118.1,131.28,128.09,147.41,142.4,158.07,154.92,160.31,167.53,184.59,185.3,181.64,174.65,184.95,193.79,181.62,209.17,188.8,191.42,190.38,194.06,189.1,179.24,184.25,167.39,167.76,171.2,163.65,159.82,159.88,148.01,152.25,140.4,131.26,134.27,128.63,116.01,112.18,115.54,112.34,105.39,113.3,95.07,109.75,103.14,95.47,101.42,97.53,101.41,98.92,90.31,90.63,97.65,92.04,98.48,91.9,96.19,85.75,91.56,89.23,89.6,84.91,2025-01-03 00:00:00,1
100.15,98.03,100.35,112.5,105.08,114.83,102.44,92.87,104.36,110.58,103.65,105.72,106.58,115.8,116.71,101.29,114.03,114.15,114.92,99.2,129.7,116.43,105.66,125.71,110.29,113.24,127.12,121.83,132.43,134.34,137.11,141.92,151.58,139.4,156.9,173.2,160.5,160.66,169.07,157.68,169.34,168.89,179.12,183.37,187.84,192.48,196.45,206.09,218.84,214.83,213.49,228.17,225.2,242.71,230.37,235.52,230.28,244.47,232.33,221.4,227.69,232.8,225.61,216.92,216.67,210.69,207.07,194.2,182.1,176.3,180.12,181.71,168.92,163.6,155.72,154.52,146.39,142.87,128.45,132.66,122.47,128.51,124.39,116.8,116.74,117.39,111.09,110.92,116.64,118.56,105.56,117.34,131.09,106.7,113.46,113.75,2025-01-04 00:00:00,1
108.44,97.05,87.68,108.32,105.3,110.56,101.68,96.84,101.56,103.99,105.49,106.99,122.7,103.36,103.92,124.54,98.68,115.77,99.01,126.21,123.62,115.9,104.97,115.48,117.94,130.01,119,120.01,131.52,128.08,142.35,128.6,146.5,141.3,142.96,160.12,154.28,147.38,158.71,152.72,165.22,174.94,178.6,183.88,177.69,187.09,197.46,191.85,206.94,223.89,211.98,227.85,224.17,239.59,223.73,210.84,233.17,216.84,234.84,236.91,225.4,207.87,209.2,216.85,194.02,194.72,188.69,202.2,174.93,178.31,173.32,155.8,161.35,162.35,168.66,138.02,145.07,142.48,130.3,135.49,138.73,117.72,117.52,114.8,109.07,116.55,117.22,117.04,111.45,96.49,103.24,104.46,112.48,111.65,102.19,99.77,2025-01-05 00:00:00,1
143.64,142.31,140.92,137.13,136.07,131.65,139.25,138.26,136.06,132.34,134.13,152.04,142.72,150.22,152.155,154.09,158.12,159.08,138.75,150.94,155.28,154.63,148.9,155.35,176.5,167.22,179.91,192.09,199.33,224.56,244.87,268.26,287.47,291.47,273.14,279.92,255.68,224.04,228.3,203.45,204.63,212.07,197.28,208.05,201.61,194.14,201.06,202.21,207.19,209.81,206.1,207.98,201.28,208.23,206.77,208.72,204.39,187.85,181.66,189.7,183.68,184.63,201.73,184.06,181.39,191.15,201.37,206.94,220.28,237.8,250.5,268.84,269.55,271.25,263.11,242.08,222.76,211.68,193.22,184.66,164.04,156.01,156.93,158.85,140.53,142.28,148.65,136.94,141.81,140.23,145.32,140.41,136.58,146.65,142.68,128.89,2025-01-06 00:00:00,2
90.16,91.13,95.01,84.07,85.68,92.84,91.85,94.97,102.28,89.29,97.12,98.47,92.51,97.06,83.33,99.94,93.8,96.23,88.96,102.36,111.35,85.08,93.18,97.65,99.32,96.78,115.69,112.76,116.27,109.83,105.97,107.78,118.72,120.68,125.29,138.27,123.36,132.38,145.68,134.8,150.75,161.33,165.07,179.55,168.05,173.72,184.04,180.32,190.57,186.31,181.08,195.35,197.3,174.16,180.85,184.73,176.68,175.15,170.45,172.93,169.73,156.72,154.39,146.31,146.99,141.55,144.93,124.53,118.06,117.74,105.96,115.02,123.84,113.32,87.21,100.44,91.6,97.2,98.09,110.99,109.09,84.51,95.36,90.39,90.59,88.08,84.36,90.24,93.17,90.26,83.48,86.22,89.47,106.56,85.89,82.15,2025-01-07 00:00:00,1
81.21,97.31,102.2,89.57,85.76,98.62,82.6,101.43,82.45,89.54,99.04,91.06,103.88,108.18,91.13,99.97,91.47,94.63,106.24,102.26,87.49,87.55,109.08,113.5,113.91,106.34,118.89,96.15,110.87,108.73,116.83,101.57,113.515,125.46,114.47,129.47,143.11,138.92,150.24,150.57,153.63,158.84,169.21,161.03,179.03,180.93,191.76,191.76,181.06,193.92,198.43,201.71,190.34,195.95,184.04,192.19,193.97,184.49,184.82,175.01,150.96,160.96,152.56,167.92,155.85,151.64,144.76,141.67,155.76,128.31,117.04,125.55,112.4,120.92,107.46,105.18,103.94,94.54,113.08,115.68,97.38,94.94,107.88,93.12,96.98,83.2,104.83,101.45,103.99,97.15,89.22,95.46,114.41,90.89,90.66,97.27,2025-01-08 00:00:00,1
68.96,45.28,51.68,57,62.66,55.32,64.88,48.77,58.92,57.34,61.38,58.15,47.28,63.16,54.55,65.1,51.06,51.2,60.58,69.37,55.39,55.22,70.03,61.79,62.3,81.54,64.61,63.92,63.7,69.28,71.05,79.77,67.1,64.07,76.94,67.36,79.73,65.99,80.37,74.79,74.97,80.23,90.01,75,87.75,85.98,87.2,92.74,79.26,91.26,91.9,90.63,81.8,84.515,87.23,83.7,81.34,88.07,73.04,76.47,79.86,67.33,92.05,70.48,88.51,76.83,84.47,75.17,71.09,52.82,68.87,66.695,64.52,67.49,54.28,70.82,58.26,66.38,63.2,62.73,63.82,68.57,57.76,54.59,65.23,66.2,67.09,65.39,66.59,67.79,56.5,61.61,54.57,52.94,63.31,44.95,2025-01-09 00:00:00,4
53.24,52.27,67.77,50.29,41.82,56.08,54.8,55.2,51.99,64.53,82.44,54.76,64.09,52.67,49.33,79.59,50.44,59.73,51.53,57.9,59.6,62.76,65.01,67.26,59.26,76.25,72.77,68.03,83.24,80.72,66.75,81.07,87.84,74.2,75.61,78.89,78.53,75.67,79.89,90.38,73.76,83.55,79.05,71.35,88.42,86.09,98.05,94.2,92.18,78.38,80.41,73.46,94.61,92.88,90.57,90.43,78.26,84.76,81.86,83,89.91,85.82,79.5,69.91,64.46,77.26,80.92,68.45,73.15,76.38,66.81,68.37,72.33,72.19,78.55,58.74,68.32,78.13,71.33,62.55,64.62,69.76,62.67,59.78,61.72,64.58,45.87,66.36,64.86,71.38,58.27,62.03,55.57,51.11,61.19,64.44,2025-01-10 00:00:00,4
