特征,Pearson相关系数,绝对Pearson相关系数
冷负荷滞后1步,0.986819770178168,0.986819770178168
冷负荷滞后4步,0.912607826380569,0.912607826380569
站台人数,0.871707821333367,0.871707821333367
进站客流,0.861875966759048,0.861875966759048
出站客流,0.860645490315758,0.860645490315758
二氧化碳浓度,0.822290375689301,0.822290375689301
冷负荷滞后8步,0.755840488816838,0.755840488816838
站台温度,0.739304046567507,0.739304046567507
室外温度,0.649776136690742,0.649776136690742
冷负荷滞后96步,0.58745639383607,0.58745639383607
太阳辐射,0.559842285579229,0.559842285579229
小时余弦,-0.544351295016764,0.544351295016764
室外相对湿度,-0.342056643053991,0.342056643053991
小时正弦,-0.25314200446474,0.25314200446474
站台相对湿度,-0.188161321382814,0.188161321382814
小时_十进制,0.177894808755341,0.177894808755341
是否周末,0.175588492723113,0.175588492723113
星期余弦,0.130561262403755,0.130561262403755
星期正弦,0.0565072040968937,0.0565072040968937
