lifecycleCost,redundancyRate,topsisScore
7073104,1.041186,0
3878472,0.09454721,0.9888964
3964833,0.1263714,0.963032
3983267,0.1335153,0.9558865
3948129,0.121732,0.9677753
3969690,0.1285282,0.9609098
3726362,0.09454721,1
3812724,0.1263714,0.9668055
3915674,0.1581956,0.9333662
4018624,0.1900198,0.8999203
3831158,0.1335153,0.9593681
3934108,0.1653395,0.9259314
4037058,0.1971638,0.8924873
3952542,0.1724834,0.9184964
3796020,0.121732,0.9717014
3898970,0.1535562,0.9382679
4001920,0.1853805,0.9048234
3917404,0.1607001,0.9308325
4020354,0.1925243,0.8973899
4038788,0.1996682,0.8899564
3817581,0.1285282,0.9645701
3920532,0.1603524,0.9311326
4023481,0.1921766,0.8976877
3938965,0.1674963,0.9236977
4041915,0.1993206,0.8902545
3925388,0.1625092,0.9288989
4028338,0.1943334,0.8954549
4046772,0.2014773,0.8880215
3968511,0.1761016,0.9146283
4011634,0.189694,0.9003574
4088520,0.1091864,0.9697099
4010938,0.1238255,0.9635186
4045147,0.1604233,0.9286095
